user_id,first_name,last_name,birth_country,birth_state,birth_year
4,Ravi,Osei,Canada,Manitoba,1973
6,Mei,Reyes,Australia,Tasmania,1998
9,Diego,Smith,Brazil,Goiás,1977
18,Mei,Herrera,France,Bourgogne-Franche-Comté,1957
20,Omar,Tanaka,United States,Colorado,1989
21,Ethan,Kim,India,Rajasthan,1992
22,Adrian,Yilmaz,France,Île-de-France,1958
23,Lucas,Silva,Australia,Northern Territory,1986
25,Chloe,Diallo,India,Rajasthan,1976
31,Maria,Bakker,Nigeria,Oyo,1954
34,Ravi,Patel,Mexico,Nuevo León,1952
46,Noah,Garcia,India,Rajasthan,1982
54,Aisha,Yilmaz,Australia,Western Australia,1976
62,Adrian,Castro,Nigeria,Enugu,1958
63,Ethan,Cohen,France,Nouvelle-Aquitaine,1965
64,Lucas,Chow,Nigeria,Kano,1974
65,Noah,Bakker,Mexico,Chihuahua,1972
67,Priya,Nguyen,Canada,Saskatchewan,1965
93,James,Hassan,Nigeria,Rivers,1981
99,Nadia,Mensah,France,Bourgogne-Franche-Comté,1994
